band,time_bin,time_to_onset_midpoint_seconds,n_patients,patient_equal_median_z,patient_iqr_low_z,patient_iqr_high_z,pooled_seizure_median_z
alpha,1,-57.0,14,-0.11696508279129711,-0.3354484817030078,0.20393032768672353,-0.1440391329344858
alpha,2,-51.0,14,0.04688760605402177,-0.2792358197224253,0.47154242708458655,0.13164254524171834
alpha,3,-45.0,14,-0.04576685755344136,-0.5797419235071304,0.3400180230999208,-0.11440428840966806
alpha,4,-39.0,14,-0.2653098056670477,-0.41646468799896635,-0.002864936482279423,-0.18160789954117948
alpha,5,-33.0,14,-0.04633560769955868,-0.18741602591568432,0.2958751195741126,-0.0010368251420804057
alpha,6,-27.0,14,0.10085172457283362,-0.1880915406510736,0.6430297331499116,0.05121687419896373
alpha,7,-21.0,14,-0.04790696715712444,-0.4225196067436783,0.0890236137348902,-0.1757183929643817
alpha,8,-15.0,14,-0.06165104893633834,-0.32168297454831946,0.4690488741349248,-0.13184973140795245
alpha,9,-9.0,14,0.028159917630816933,-0.5575564582286943,0.09368334035356052,-0.0088436313355823
alpha,10,-3.0,14,0.0034864147111899266,-0.5748554145732835,0.37884274990008626,-0.3143012552211654
beta,1,-57.0,12,-0.01240053569416627,-0.47211920954371456,0.517851323903582,0.1799198042829751
beta,2,-51.0,12,0.12500468988660074,-0.3300812043226044,0.7922388817184111,0.24164239112879143
beta,3,-45.0,12,0.31203088969348614,-0.23635527382705981,0.5517822600049813,0.10170491107351179
beta,4,-39.0,12,0.2796583583798067,-0.44468090353552664,0.5381467711607775,0.3355788592624904
beta,5,-33.0,12,0.18177302175767782,-0.30270691208405226,0.4972221970914801,0.19587213276928805
beta,6,-27.0,12,0.12264726488848297,-0.21741565193973456,0.4641110374455621,0.2030733039869118
beta,7,-21.0,12,0.3607463278267018,-0.15916282347907837,0.7607319878171225,0.3267938796968707
beta,8,-15.0,12,0.30164250524008523,-0.18170590348370425,0.6630835326586952,0.22940480565947813
beta,9,-9.0,12,0.3707178372950647,-0.02472934893097581,0.6435234433170762,0.5846408771296296
beta,10,-3.0,12,0.389671333007645,-0.6529054351739022,0.7215075032521975,0.2645082646203632
theta,1,-57.0,13,-0.1161739174471191,-0.27551222782767293,0.012857364348430211,-0.22630033805658092
theta,2,-51.0,13,-0.12345070972100924,-0.31969165018091195,0.2902710467943071,-0.13603944894155828
theta,3,-45.0,13,-0.052563148825617856,-0.32238343759659654,0.3500239761012957,-0.10589994909406474
theta,4,-39.0,13,0.14126196967516236,-0.15263968028000605,0.249837256570004,0.0012597340457285728
theta,5,-33.0,13,0.037862500901594986,-0.29053588404485214,0.11874493950398791,-0.1815537661390541
theta,6,-27.0,13,-0.29976741804200746,-0.43976432912368196,-0.11267907634264113,-0.13145458480688701
theta,7,-21.0,13,-0.21379697354849048,-0.4501223497203162,0.13127032190936416,-0.27068181643736783
theta,8,-15.0,13,-0.13158858650116928,-0.4256138626339416,0.23210495835377443,0.06707631502888614
theta,9,-9.0,13,-0.027459578914339176,-0.21767881631239422,0.18843359621248304,-0.002425336425998612
theta,10,-3.0,13,-0.020926620332287205,-0.444193215735211,0.260168783100212,0.14003963964935215
delta,1,-57.0,6,0.25859123442595255,0.0779030913936473,0.8199622178412103,0.24033445442956167
delta,2,-51.0,6,-0.18210340593285504,-0.5669940553813387,0.1355654412729997,-0.3014867639081759
delta,3,-45.0,6,-0.6648218874356928,-1.3995941679049912,-0.2699760790786404,-0.5730880561426244
delta,4,-39.0,6,-0.16282398812833054,-0.6658258295975553,0.45671503824815674,-0.41849955219211993
delta,5,-33.0,6,0.12064650271245098,-0.8418868456518035,0.44963895074422644,0.16408176554823747
delta,6,-27.0,6,-0.004736932653484918,-0.9439906373982201,0.5902181585608006,-0.13487361047199908
delta,7,-21.0,6,-0.2600962276345335,-0.8173537708039083,0.41725946923339674,-0.27870959794469213
delta,8,-15.0,6,-0.6260828636092751,-1.6529180482940107,0.9033199360727122,-1.1233684665245798
delta,9,-9.0,6,-0.4042567761060396,-1.0515974936643815,1.1092674835430585,-0.8078577645233859
delta,10,-3.0,6,-0.2750794556019927,-0.7550377188767787,-0.007614715083258311,-0.2469414088183938
gamma,1,-57.0,1,-0.04660038185431369,-0.04660038185431369,-0.04660038185431369,-0.04660038185431369
gamma,2,-51.0,1,0.1797833201954892,0.1797833201954892,0.1797833201954892,0.1797833201954892
gamma,3,-45.0,1,0.1405425108404362,0.1405425108404362,0.1405425108404362,0.1405425108404362
gamma,4,-39.0,1,-0.015565023395926109,-0.015565023395926109,-0.015565023395926109,-0.015565023395926109
gamma,5,-33.0,1,-0.09487410162065832,-0.09487410162065832,-0.09487410162065832,-0.09487410162065832
gamma,6,-27.0,1,-0.07055692138652653,-0.07055692138652653,-0.07055692138652653,-0.07055692138652653
gamma,7,-21.0,1,-0.23144615452471878,-0.23144615452471878,-0.23144615452471878,-0.23144615452471878
gamma,8,-15.0,1,-0.3007027522713088,-0.3007027522713088,-0.3007027522713088,-0.3007027522713088
gamma,9,-9.0,1,0.05874127628630147,0.05874127628630147,0.05874127628630147,0.05874127628630147
gamma,10,-3.0,1,-0.02652378079423818,-0.02652378079423818,-0.02652378079423818,-0.02652378079423818
