level,band,pearson_r_n,pearson_r_median,pearson_r_iqr_low,pearson_r_iqr_high,pearson_r_positive_n,pearson_r_positive_percent,pearson_r_negative_n,pearson_r_negative_percent,spearman_rho_n,spearman_rho_median,spearman_rho_iqr_low,spearman_rho_iqr_high,spearman_rho_positive_n,spearman_rho_positive_percent,spearman_rho_negative_n,spearman_rho_negative_percent
seizure,alpha,46,-0.10529524575496824,-0.4180440876249155,0.17999482719215287,21,45.65217391304348,25,54.347826086956516,46,-0.060606060606060594,-0.3424242424242424,0.12727272727272726,20,43.47826086956522,26,56.52173913043478
seizure,beta,36,0.217671790763515,-0.2695649129139409,0.4941980075116843,22,61.111111111111114,14,38.88888888888889,36,0.15757575757575756,-0.2787878787878788,0.5242424242424242,22,61.111111111111114,14,38.88888888888889
seizure,theta,43,0.02597253760204657,-0.2676981854759384,0.42922142217522763,23,53.48837209302325,20,46.51162790697674,43,-0.04242424242424241,-0.21818181818181814,0.3939393939393939,20,46.51162790697674,23,53.48837209302325
seizure,delta,9,-0.3131557429247528,-0.5941284559565625,0.33986058435844,3,33.33333333333333,6,66.66666666666666,9,-0.32121212121212117,-0.6,0.34545454545454546,3,33.33333333333333,6,66.66666666666666
seizure,gamma,7,-0.04403425810007836,-0.3798447787250684,0.07126073639450442,2,28.57142857142857,5,71.42857142857143,7,-0.006060606060606061,-0.39393939393939387,0.2909090909090909,3,42.857142857142854,4,57.14285714285714
patient,alpha,14,-0.17862015352516591,-0.43625053341668685,0.10518073710520033,5,35.714285714285715,9,64.28571428571429,14,-0.21818181818181817,-0.42727272727272725,0.09393939393939393,4,28.57142857142857,10,71.42857142857143
patient,beta,12,0.14368700949893,-0.013419030593932454,0.5491390973032113,8,66.66666666666666,4,33.33333333333333,12,0.18181818181818182,-0.08484848484848484,0.5606060606060606,8,66.66666666666666,4,33.33333333333333
patient,theta,13,0.24562862775220823,-0.14561563956700066,0.5116424740268288,9,69.23076923076923,4,30.76923076923077,13,0.22424242424242422,-0.1515151515151515,0.5878787878787878,8,61.53846153846154,5,38.46153846153847
patient,delta,6,-0.30612487732306043,-0.3577367853401002,0.3926365814448572,2,33.33333333333333,4,66.66666666666666,6,-0.26060606060606056,-0.32121212121212117,0.3727272727272727,2,33.33333333333333,4,66.66666666666666
patient,gamma,1,-0.43031533652854526,-0.43031533652854526,-0.43031533652854526,0,0.0,1,100.0,1,-0.35757575757575755,-0.35757575757575755,-0.35757575757575755,0,0.0,1,100.0
