metric,value,interpretation
negative log likelihood,1.1592044645885586,Lower is better; proper score for the observed bin/no-event class.
multicategory Brier score,0.3069010314049014,Lower is better; probability error across 60 bins plus no-event.
multicategory Brier skill score,0.14591549701789974,Above 0 improves on the development-set class-frequency forecast.
integrated survival Brier score,0.06828994582616806,Lower is better; mean survival-probability error across 5-minute horizon.
5-minute AUROC,0.9115277777777777,Discrimination only; does not assess calibration.
5-minute average precision,0.531398704550044,Ranking metric sensitive to event prevalence.
conditional timing MAE (seconds),75.00000595882975,Error of expected onset time among seizure landmarks.
seizure sensitivity,0.0,Fraction of seizure episodes with an alarm after 18 consecutive high-risk landmarks.
time in warning,0.0,Fraction of evaluated 5-second landmarks under warning.
false alarms per hour,0.0,Rising persistent-alarm edges in interictal episodes per monitored hour.
median warning lead (seconds),,First-warning lead among captured holdout seizures.
development-selected warning threshold,0.8283247402356595,Chosen without holdout outcomes to meet the configured development sensitivity/false-alarm targets using a causal development-only alarm policy.
