metric,value,interpretation
negative log likelihood,1.4253084071900362,Lower is better; proper score for the observed bin/no-event class.
multicategory Brier score,0.37991448718143894,Lower is better; probability error across 60 bins plus no-event.
multicategory Brier skill score,-0.05727593835279854,Above 0 improves on the development-set class-frequency forecast.
integrated survival Brier score,0.09715320014548157,Lower is better; mean survival-probability error across 5-minute horizon.
5-minute AUROC,0.5398775020089123,Discrimination only; does not assess calibration.
5-minute average precision,0.21993288156337876,Ranking metric sensitive to event prevalence.
conditional timing MAE (seconds),79.70742370314629,Error of expected onset time among seizure landmarks.
seizure sensitivity,0.6410256410256411,Fraction of seizure episodes with an alarm after 2 consecutive high-risk landmarks.
time in warning,0.25982905982905985,Fraction of evaluated 5-second landmarks under warning.
false alarms per hour,4.6923076923076925,Rising persistent-alarm edges in interictal episodes per monitored hour.
median warning lead (seconds),295.0,First-warning lead among captured holdout seizures.
development-selected warning threshold,0.3198614396280544,Chosen without holdout outcomes to meet the configured development sensitivity/false-alarm targets using a causal development-only alarm policy.
